id,name,description,created_at,updated_at,url
11,Avocado-Kiwi Smoothie,½ avocado\n2 kiwis\n1 banana\n2 cups fresh baby spinach (or other leafy green)\n1/2 – 1 cup water\n\nCalories: 379 | Fat: 15.8g (grams) | Protein: 6.3g | Carbs: 63.3g | Calcium: 12% | Vitamin A: 47% | Vitamin C: 290%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/avocado-smoothie-recipes-and-health-benefits/
12,Avocado-Berry Fruit Smoothie,¼ avocado\n½ cup of red raspberries\n½ cup of blackberries\n1 whole banana\n1/2 cup water\n\nCalories: 275 | Fat: 8.2g (grams) | Protein: 6g | Carbs: 53.5g | Calcium: 12% | Vitamin A: 84% | Vitamin C: 148%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/avocado-smoothie-recipes-and-health-benefits/
13,Simple Banana Green Smoothie,2 whole bananas\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water\n\nCalories: 252 | Fat: 0.8g (grams) | Protein: 5g | Carbs: 65.2g | Calcium: 10% | Vitamin A: 84% | Vitamin C: 80%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
14,Banana Nut Smoothie,1 banana\n2 tbs natural creamy peanut butter\n½ cup blueberries or 3-4 strawberries\n2 cups fresh baby spinach (or other leafy green)\n½ cup water\n(OPTIONAL) 1 scoop protein powder*\n\nCalories: 384 | Fat: 17.6g (grams) | Protein: 11g | Carbs: 52g | Calcium: 11% | Vitamin A: 83% | Vitamin C: 72% | * Protein powder adds additional calories and grams of protein.,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
15,Banana-Strawberry Smoothie,1 banana\n1 cup whole strawberries\n2 cups fresh baby spinach (or other leafy green)\n1 small vine tomato\n1/2 – 1 cup water\n\nCalories: 205 | Fat: 1g (gram) | Protein: 6g | Carbs: 51.5g | Calcium: 13% | Vitamin A: 98% | Vitamin C: 249%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
16,Banana-Coconut Smoothie,1 banana\nwater and meat from 1 young coconut\n2 cups fresh baby spinach (or other leafy green)\n1-2 slices of fresh pineapple\n\nCalories: 345 | Fat: 3.6g (grams) | Protein: 6.3g | Carbs: 81.7g | Calcium: 29% | Vitamin A: 84% | Vitamin C: 154%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
17,Banana-Pineapple Smoothie,1 banana\n1 cup pineapple\n1-2 celery stalks\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water\n\nCalories: 217 | Fat: 0.8g (grams) | Protein: 4.4g | Carbs: 54.9g | Calcium: 15% | Vitamin A: 92% | Vitamin C: 158%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
18,Banana-Papaya Smoothie,1 banana\n1 papaya\n2 cups fresh baby spinach (or other leafy green)\n1 small vine tomato\n1/2 – 1 cup water\n\nCalories: 278 | Fat: 1g (gram) | Protein: 6.9g | Carbs: 70.2g | Calcium: 18% | Vitamin A: 165% | Vitamin C: 421%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
19,Banana-Blueberry Smoothie,1 banana\n1 cup blueberries\n2 cups fresh baby spinach (or other leafy green)\n1 whole carrot\n1/2 cup of water\n\nCalories: 244 | Fat: 1.1g (grams) | Protein: 5.3g | Carbs: 62g | Calcium: 12% | Vitamin A: 257% | Vitamin C: 90%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
20,Banana-Apple-Pear Smoothie,1 banana\n1 apple\n1 pear\n2 cups fresh baby spinach (or other leafy green)\n1 stalk of celery\n1/2 – 1 cup water\n\nCalories: 305 | Fat: 0.9g (grams) | Protein: 4.8g | Carbs: 79.1g | Calcium: 13% | Vitamin A: 88% | Vitamin C: 85%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
21,Banana-Berry Smoothie,1 banana\n1/2 cup raspberries\n1/2 cup blueberries\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup of water\n\nCalories: 204 | Fat: 1g (gram) | Protein: 4.3g | Carbs: 51.9g | Calcium: 11% | Vitamin A: 83% | Vitamin C: 98%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
22,Banana and Greens Smoothie,2 large bananas\n1 cup fresh baby spinach\n1 cup kale\n1 tbs parsley\n1-2 celery stalks (to taste)\n1/2 – 1 cup water,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
23,Banana-Pear Smoothie,1 banana\n1 pear\n1/2 cup raspberries (or blueberries, strawberries)\n2 cups fresh baby spinach (or other leafy green)\n¼ avocado\n1/2 – 1 cup water\n\nCalories: 339 | Fat: 8g (grams) | Protein: 4.8g | Carbs: 72g | Calcium: 12% | Vitamin A: 85% | Vitamin C: 107%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
24,Banana-Mint Smoothie,2 whole bananas\n2 cups fresh baby spinach (or other leafy green)\n1 tbs mint\n1/2 cup water\n\nCalories: 256 | Fat: 0.8g (grams) | Protein: 5g | Carbs: 65.2g | Calcium: 10% | Vitamin A: 84% | Vitamin C: 80%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/banana-smoothie-recipes-and-nutrition/
25,Blackberry-Orange Smoothie,1 cup blackberries\n1 banana; peeled\n1 small orange; peeled and deseeded\n2 cups fresh spinach (or other leafy green)\n8 ounces filtered water\n\nCalories: 249 | Fat: 1.5g (grams) | Protein: 6.3g | Carbs: 60.5g | Calcium: 17% | Iron: 3mg | Vitamin A: 212% | Vitamin C: 156%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blackberry-smoothie-recipes-and-nutrition/
26,Black & Blue Smoothie,1 cup blackberries\n1 cup blueberries\n1 small apple; cored\n1 banana; peeled\n2 teaspoons chia seeds (soaked for 10 minutes)\n2-4 cups spinach (or other leafy green)\n8 ounces filtered water\n\nCalories: 435 | Fat: 7.4g (grams) | Protein: 8.3g | Carbs: 95.4g | Calcium: 26% | Iron: 3.9mg | Vitamin A: 206% | Vitamin C: 76%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blackberry-smoothie-recipes-and-nutrition/
27,Sweet Blackberry-Melon,1 cup blackberries\n1 cup watermelon\n1 banana; peeled\n2-4 cups spinach (or other leafy green)\n2-4 ounces filtered water\n\nCalories: 226 | Fat: 1.6g (grams) | Protein: 5.9g | Carbs: 54.4g | Calcium: 12% | Iron: 3.2mg | Vitamin A: 229% | Vitamin C: 77%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blackberry-smoothie-recipes-and-nutrition/
28,Blackberry-Mango Smoothie,1 cup blackberries\n1 large mango; peeled and pitted\n2 cups fresh baby spinach (or other leafy green)\n1 vine tomato (optional)\n8 ounces filtered water\n\nCalories: 221 | Fat: 1.6g (grams) | Protein: 5.3g | Carbs: 53.6g | Calcium: 13% | Iron: 3mg | Vitamin A: 268% | Vitamin C: 125%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blackberry-smoothie-recipes-and-nutrition/
29,Black and Red Berry Good Smoothie,1/2 cup blackberries\n1/2 cup raspberries\n2 bananas; peeled\n2 cups fresh baby spinach (or other leafy green)\n1 celery stalk (optional)\n8 ounces filtered water\n\nCalories: 293 | Fat: 1.8g (grams) | Protein: 6.2g | Carbs: 71.5g | Calcium: 12% | Iron: 3.2mg | Vitamin A: 204% | Vitamin C: 78%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blackberry-smoothie-recipes-and-nutrition/
30,Blackberry-Apple-Veggie Smoothie,1 cup blackberries\n2 small apples; cored\n2 cups fresh baby spinach (or other leafy green)\n1 small carrot and/or 1 stalk celery\n8 ounces filtered water\n\nCalories: 258 | Fat: 1.6g (grams) | Protein: 5.2g | Carbs: 63.1g | Calcium: 15% | Iron: 3.1mg | Vitamin A: 488% | Vitamin C: 72%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blackberry-smoothie-recipes-and-nutrition/
31,Blueberry-Mango Smoothie,1 cup blueberries\n1 mango\n2 cups fresh baby spinach (or other leafy green)\n1 whole carrot\n1/2 – 1 cup water\n\nCalories: 258 | Fat: 1.3g (grams) | Protein: 4.9g | Carbs: 66.1g | Calcium: 13% | Vitamin A: 287% | Vitamin C: 166%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blueberry-smoothie-recipes-and-nutrition/
32,Blueberry-Banana Smoothie,1 cup blueberries\n1-2 whole bananas*\n1 stalk celery\n2 cups fresh baby spinach (or other leafy green)\n1/2 – 1 cup water\n\nCalories: 220 | Fat: 1g (gram) | Protein: 4.9g | Carbs: 56.3g | Calcium: 12% | Vitamin A: 88% | Vitamin C: 85% – * Nutrition information with one banana. A second medium banana will add 121 calories.,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blueberry-smoothie-recipes-and-nutrition/
33,Blueberry-Apple Smoothie,1 cup blueberries\n1 apple\n2 cups fresh baby spinach (or other leafy green)\n¼ avocado\n1/2 – 1 cup water\n\nCalories: 245 | Fat: 7.7g (grams) | Protein: 4.5g | Carbs: 47.3g | Calcium: 10% | Vitamin A: 84% | Vitamin C: 82%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blueberry-smoothie-recipes-and-nutrition/
34,Blueberry-Peach Smoothie,1 cup blueberries\n1 peach\n2 cups fresh baby spinach (or other leafy green)\n¼ avocado\n1 stalk celery\n1/2 – 1 cup water\n\nCalories: 217 | Fat: 7.8g (grams) | Protein: 5.3g | Carbs: 40g | Calcium: 12% | Vitamin A: 93% | Vitamin C: 84%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/blueberry-smoothie-recipes-and-nutrition/
35,Cantaloupe Strawberry Smoothie,– 1/2 medium/large cantaloupe, rind removed\n– 1 cup organic strawberries\n– 2 cups fresh organic baby spinach (or other leafy green)\n– 1/4 cup filtered water if needed\n\nCalories: 198 | Fat: 1g (grams) | Protein: 6g | Carbs: 46g | Calcium: 12% | Vitamin A: 832% | Vitamin C: 335%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cantaloupe-melon-smoothie-recipes-and-nutrition/
36,Cantaloupe Mixed Berry,– 1/2 medium/large cantaloupe, rind removed\n– 1/2 – 1 cup organic raspberries, blueberries or blackberries.*\n– 2 cups fresh organic baby spinach (or other leafy green)\n– 1/4 cup filtered water if needed\n\n* You can use frozen berries too. Nutrition info is for 1 cup raspberries.\n\nCalories: 216 | Fat: 1g (grams) | Protein: 6g | Carbs: 50g | Calcium: 13% | Vitamin A: 833% | Vitamin C: 265%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cantaloupe-melon-smoothie-recipes-and-nutrition/
37,Cantaloupe Grape Smoothie,– 1/2 medium/large cantaloupe, rind removed\n– 1 cup organic red seedless grapes\n– 2 cups fresh organic baby spinach (or other leafy green)\n– Do not add water to this recipe.\n\nCalories: 256 | Fat: 1g (grams) | Protein: 6g | Carbs: 62g | Calcium: 11% | Vitamin A: 835% | Vitamin C: 243%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cantaloupe-melon-smoothie-recipes-and-nutrition/
38,Cantaloupe Apple (or Pear),– 1/2 medium/large cantaloupe, rind removed\n– 1 organic apple with skin; cored*\n– 2 cups fresh organic baby spinach (or other leafy green)\n– 1/4 cup filtered water if needed\n\n* You can use pear instead of apple.\n\nCalories: 268 | Fat: 1g (grams) | Protein: 5g | Carbs: 66g | Calcium: 11% | Vitamin A: 836% | Vitamin C: 235%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cantaloupe-melon-smoothie-recipes-and-nutrition/
39,Cantaloupe Peach (or Nectarine),– 1/2 medium/large cantaloupe, rind removed\n– 1 organic peach, pitted*\n– 2 cups fresh organic baby spinach (or other leafy green)\n– 1/4 cup filtered water if needed\n\n* You can use nectarine instead of peach.\n\nCalories: 210 | Fat: 1g (grams) | Protein: 6g | Carbs: 49g | Calcium: 11% | Vitamin A: 852% | Vitamin C: 235%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cantaloupe-melon-smoothie-recipes-and-nutrition/
40,Cherry-Banana Smoothie,1 cup cherries, pits removed\n1 whole banana\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water\n\nCalories: 205 | Fat: 0.6g (grams) | Protein: 4.7g | Carbs: 52.8g | Calcium: 11% | Vitamin A: 82% | Vitamin C: 65%\n\n,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cherry-smoothie-recipes-and-nutrition/
41,Cherry-Apple Smoothie,1 cup cherries, pits removed\n1 whole apple\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water\n(Optional) Vanilla bean for flavor.\n\nCalories: 156 | Fat: 0.5g (grams) | Protein: 3.6g | Carbs: 40.8g | Calcium: 11% | Vitamin A: 82% | Vitamin C: 65%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cherry-smoothie-recipes-and-nutrition/
42,Cherry-Coconut Smoothie,1 cup cherries, pits removed\n1 young coconut (meat and 1/2 cup coconut water)\n1/2 apple or pear\n2 cups fresh baby spinach (or other leafy green)\n\nCalories: 260 | Fat: 3.3g (grams) | Protein: 5.4g | Carbs: 60g | Calcium: 25% | Vitamin A: 81% | Vitamin C: 56%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cherry-smoothie-recipes-and-nutrition/
43,Cranberry Apple (Cran-Apple),1/2 cup cranberry juice\n1 organic apple; cored\n2 cups fresh organic baby spinach (or other leafy green)\n\nCalories: 126 | Fat: 0.2g (grams) | Protein: 2.6g | Carbs: 28.1g | Calcium: 9.5% | Vitamin A: 81.5% | Vitamin C: 61.5%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cranberry-smoothie-recipes-and-nutrition/
44,Cranberry Grape (Cran-Grape),1/2 cup cranberry juice\n1 cup organic red grapes\n2 cups fresh organic baby spinach (or other leafy green)\n\nCalories: 164 | Fat: 0.3g (grams) | Protein: 3.4g | Carbs: 38g | Calcium: 10.5% | Vitamin A: 82.5% | Vitamin C: 79.5%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cranberry-smoothie-recipes-and-nutrition/
45,Cranberry Banana (Cranbanana),1/2 cup cranberries\n1 banana\n2 cups fresh organic baby spinach (or other leafy green)\n1 stalk of organic celery\n3 madjool dates to sweeten\n8 ounces filtered water\n\nNOTE: you can use cranberry juice for any of these recipes. If you use cranberry juice, do not add water or the dates.\n\nCalories: 347 | Fat: 0g (grams) | Protein: 4g | Carbs: 90g | Calcium: 11% | Iron: 2.8mg | Vitamin A: 201% | Vitamin C: 39%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/cranberry-smoothie-recipes-and-nutrition/
46,Banana-Fig Smoothie,– 2 bananas; peeled\n– 3 fresh figs\n– 2 handfuls of fresh baby spinach or other leafy green\n– 8 ounces of water\n\nYou can also accent the flavor with fresh or frozen strawberries, peaches or nectarines.\n\nCalories: 334 | Fat: 1.5g (grams) | Protein: 5.4g | Carbs: 85g | Calcium: 12% | Iron: 2.8mg | Vitamin A: 200% | Vitamin C: 45%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/fig-smoothie-recipes-and-nutrition/
47,Figgy-Peach,– 1 large organic peach, pitted\n– 3 fresh figs\n– 2 handfuls of fresh baby spinach or other leafy green\n– 8 ounces of water\n\nCalories: 193 | Fat: 1.1g (grams) | Protein: 4.4g | Carbs: 47.6g | Calcium: 12% | Iron: 2.6mg | Vitamin A: 214% | Vitamin C: 35%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/fig-smoothie-recipes-and-nutrition/
48,Grape Green Smoothie,2 cups red grapes\n1 whole banana\n1 small handful of fresh Italian parsley\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water if needed\n\nCalories: 351 | Fat: 1g (gram) | Protein: 5.9g | Carbs: 92.1g | Calcium: 13% | Vitamin A: 86% | Vitamin C: 118%\n\n,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grape-smoothie-recipes-and-nutrition/
49,Grape-Berry Smoothie,2 cups red grapes\n1 large pear\n1/2 cup blueberries\n1 vine tomato\n2 cups fresh baby spinach (or other leafy green)\n1 whole carrot\n1/2 cup water if needed\n\nCalories: 425 | Fat: 1.4g (grams) | Protein: 7.7g | Carbs: 110.4g | Calcium: 17% | Vitamin A: 275% | Vitamin C: 176%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grape-smoothie-recipes-and-nutrition/
50,Red Grape-Orange Smoothie,1 cup red grapes\n1 orange\n1 pear\n2 stalks of celery\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water if needed\n\nCalories: 290 | Fat: 0.9g (grams) | Protein: 5.6g | Carbs: 75.5g | Calcium: 20% | Vitamin A: 97% | Vitamin C: 201%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grape-smoothie-recipes-and-nutrition/
51,Grape-Banana Smoothie,2 cups red grapes\n1 whole banana\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water if needed\n\nCalories: 351 | Fat: 1g (gram) | Protein: 5.9g | Carbs: 92.1g | Calcium: 13% | Vitamin A: 86% | Vitamin C: 118%\n\n,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grape-smoothie-recipes-and-nutrition/
52,Grape-Mango Smoothie,2 cups red grapes\n1 large mango\n2 cups fresh baby spinach (or other leafy green)\n½ vine tomato\n1/2 cup water if needed\n\nCalories: 379 | Fat: 1.3g (grams) | Protein: 6.2g | Carbs: 99.3g | Calcium: 15% | Vitamin A: 124% | Vitamin C: 218%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grape-smoothie-recipes-and-nutrition/
53,Basic Sweet Grapefruit,1 grapefruit; peeled and deseeded\n1 banana; peeled\n2 cups fresh baby spinach (or other leafy green)\n4 ounces of water\n\nCalories: 195 | Fat: 0.8g (gram) | Protein: 4g | Carbs: 47.2g | Calcium: 8% | Iron: 2.3 mg | Vitamin A: 219% | Vitamin C: 113%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grapefruit-smoothie-recipes-and-nutrition/
54,Tropical Grapefruit with Kiwi Smoothie,1 grapefruit; peeled and deseeded\n1 cup fresh pineapple; cubed\n2 kiwifruit; peeled\n2 cups fresh baby spinach (or other leafy green)\n4 ounces of water or coconut water\n\nCalories: 256 | Fat: 1.3g (grams) | Protein: 5.2g | Carbs: 62.1g | Calcium: 15% | Iron: 2.9 mg | Vitamin A: 223% | Vitamin C: 331%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grapefruit-smoothie-recipes-and-nutrition/
55,"Orange ""Grango"" Smoothie",1 grapefruit; peeled and deseeded\n1 orange; peeled and deseeded\n1 large mango; peeled and pitted\n2 cups fresh baby spinach (or other leafy green)\n2 celery stalks (optional)\n4-6 ounces of coconut water\n\nCalories: 306 | Fat: 1.3g (grams) | Protein: 5.6g | Carbs: 75.3g | Calcium: 19% | Iron: 2.6 mg | Vitamin A: 293% | Vitamin C: 260%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grapefruit-smoothie-recipes-and-nutrition/
56,Grapefruit-Carrot-Ginger,1 grapefruit\n2 medium carrots\n1 teaspoon freshly grated ginger\nSplash of water\n\nCalories: 128 | Fat: 0.5g (grams) | Protein: 2.2g | Carbs: 30.1g | Calcium: 6% | Iron: 0.8 mg | Vitamin A: 708% | Vitamin C: 91%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grapefruit-smoothie-recipes-and-nutrition/
57,Grapefruit with Apple and Kiwi Smoothie,1 grapefruit; peeled and deseeded\n1 apple; cored\n2 kiwifruit; peeled\n1 banana; peeled\n2 teaspoons of freshly ground chia (or flax seeds)\n2 cups fresh baby spinach (or other leafy green)\n4-6 ounces of water or tangerine juice\n\nCalories: 420 | Fat: 4.8g (grams) | Protein: 7.5g | Carbs: 96.7g | Calcium: 20% | Iron: 3 mg | Vitamin A: 226% | Vitamin C: 264%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grapefruit-smoothie-recipes-and-nutrition/
58,Epic Detox Bitter Smoothie,1 grapefruit; peeled and deseeded\n1 orange; peeled and deseeded\n1 squeeze of fresh lemon juice\n2 cups chopped dandelion greens (or kale)\n4-6 ounces of water or grapefruit\n\nCalories: 197 | Fat: 1.2g (grams) | Protein: 5.3g | Carbs: 46.7g | Calcium: 28% | Iron: 4 mg | Vitamin A: 413% | Vitamin C: 223%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/grapefruit-smoothie-recipes-and-nutrition/
59,Guava-Ginger Smoothie,1/2 cup guava, seeds removed\n1 cup pineapple; cubed\n1 banana; peeled\n1/2 teaspoon fresh ginger, grated\n2 cups fresh baby spinach\n8 ounces filtered water\nCalories: 243 | Fat: 2g (grams) | Protein:68g | Carbs: 60g | Calcium: 10% | Iron: 2.6 mg | Vitamin A: 270% | Vitamin C: 391%\n\n,<null>,<null>,http://www.incrediblesmoothies.com/recipes/guava-smoothie-recipes-and-nutrition/
60,Guava-Strawberry Smoothie,1/2 cup guava, seeds removed\n6 large strawberries\n1 banana; peeled\n2 cups fresh baby spinach\n8 ounces homemade almond milk\nCalories: 229 | Fat: 4g (grams) | Protein: 7g | Carbs: 45g | Calcium: 10% | Iron: 2.5 mg | Vitamin A: 288% | Vitamin C: 370%\n\n,<null>,<null>,http://www.incrediblesmoothies.com/recipes/guava-smoothie-recipes-and-nutrition/
61,Guava-Peach Smoothie,1/2 cup guava, seeds removed\n2 peaches, pitted\n1 orange; peeled and deseeded\n2 cups fresh baby spinach\n8 ounces homemade almond milk\nCalories: 239 | Fat: 2g (grams) | Protein: 8g | Carbs: 56g | Calcium: 13% | Iron: 2.7 mg | Vitamin A: 244% | Vitamin C: 339%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/guava-smoothie-recipes-and-nutrition/
62,Kiwi-Strawberry Smoothie,2 kiwis\n1 cup whole strawberries\n2 cups fresh baby spinach (or other leafy green)\n1/2 cup water\n\nCalories: 148 | Fat: 1.2g (grams) | Protein: 4.8g | Carbs: 36.3g | Calcium: 16% | Vitamin A: 82% | Vitamin C: 415%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/kiwi-smoothie-recipes-and-nutrition/
63,Kiwi-Banana Smoothie,2 kiwis\n1 banana\n2 cups fresh baby spinach (or other leafy green)\n¼ avocado\n1/2 cup water\n\nCalories: 303 | Fat: 8.2g (grams) | Protein: 6.3g | Carbs: 60.5g | Calcium: 15% | Vitamin A: 85% | Vitamin C: 302%\n\n,<null>,<null>,http://www.incrediblesmoothies.com/recipes/kiwi-smoothie-recipes-and-nutrition/
64,Kiwi-Apple Smoothie,2 kiwis\n1 apple\n2 cups fresh baby spinach (or other leafy green)\n1 whole carrot\n1/2 cup water\n\nCalories: 204 | Fat: 1.2g (grams) | Protein: 4.9g | Carbs: 51.2g | Calcium: 17% | Vitamin A: 256% | Vitamin C: 292%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/kiwi-smoothie-recipes-and-nutrition/
65,Kiwi-Mint Smoothie,2 kiwis\n1 banana\n2 cups fresh baby spinach (or other leafy green)\n4 mint leaves\n1/2 cup water\n\nCalories: 223 | Fat: 1.2g (grams) | Protein: 5.3g | Carbs: 56.3g | Calcium: 15% | Vitamin A: 84% | Vitamin C: 294%,<null>,<null>,http://www.incrediblesmoothies.com/recipes/kiwi-smoothie-recipes-and-nutrition/
